,Date,No_calls_Offered,Year,Week,Day,WeekDay,Month,SpecialDay,Weekend,isHoliday,key,tmax,tmin,prec
0,2012-01-01,656.3274849141825,2012,52,1,6,1,1,1,1,8.3,52.966183,31.492754,0.02154589
1,2012-01-02,8645.284666835876,2012,1,2,0,1,1,0,1,8.3,44.63285,24.748793,0.017487919
2,2012-01-03,9667.400761083309,2012,1,3,1,1,1,0,0,8.3,43.567307,21.399038,0.0029326917
3,2012-01-04,6235.026275428484,2012,1,4,2,1,0,0,0,8.3,49.716347,24.235577,0.012836539
4,2012-01-05,2084.1124187042337,2012,1,5,3,1,0,0,0,8.3,56.60577,29.653847,0.0013461539
5,2012-01-06,8301.98792736642,2012,1,6,4,1,0,0,0,8.3,56.855072,32.47826,0.0042995163
6,2012-01-07,1787.6581421137819,2012,1,7,5,1,0,1,0,8.3,53.10194,32.330097,0.011601939
7,2012-01-08,7927.776722921815,2012,1,8,6,1,0,1,0,8.3,50.668293,31.05366,0.024878053
8,2012-01-12,3212.424956687451,2012,2,12,3,1,0,0,0,8.3,43.444443,24.830917,0.13241544
9,2012-01-13,7815.836512775122,2012,2,13,4,1,0,0,0,8.3,40.870193,21.120192,0.040000003
10,2012-01-14,3378.3252032856462,2012,2,14,5,1,0,1,0,8.3,43.5534,21.495146,0.013058251
11,2012-01-15,2230.208108743834,2012,2,15,6,1,0,1,0,8.3,45.94686,22.4686,0.0068115937
12,2012-01-16,9944.746453578093,2012,3,16,0,1,0,0,1,8.3,48.236713,26.512077,0.024589373
13,2012-01-17,8332.916210270823,2012,3,17,1,1,0,0,0,8.3,47.81068,25.228155,0.21839797
14,2012-01-18,8899.080094291408,2012,3,18,2,1,0,0,0,8.3,43.629807,20.903847,0.114759654
15,2012-01-19,8503.88378938641,2012,3,19,3,1,0,0,0,8.3,41.35096,20.326923,0.11278847
16,2012-01-20,8760.141143121458,2012,3,20,4,1,0,0,0,8.3,41.88889,24.024155,0.14159422
17,2012-01-21,3403.187865534333,2012,3,21,5,1,0,1,0,8.3,44.04327,25.067308,0.1429808
18,2012-01-22,2144.3254453811824,2012,3,22,6,1,0,1,0,8.3,48.427883,29.711538,0.08471157
19,2012-01-23,10197.20457205747,2012,4,23,0,1,0,0,0,8.3,50.673077,32.447117,0.18245193
20,2012-01-24,8597.899110536835,2012,4,24,1,1,0,0,0,8.3,49.701923,30.913462,0.08139424
21,2012-01-25,9443.52166921668,2012,4,25,2,1,0,0,0,8.3,50.89904,33.379807,0.19288462
22,2012-01-26,8808.118594039854,2012,4,26,3,1,0,0,0,8.3,52.99517,35.400967,0.19594203
23,2012-01-27,8854.006823803922,2012,4,27,4,1,0,0,0,8.3,51.082127,31.84058,0.11642515
24,2012-01-28,3663.9457047721435,2012,4,28,5,1,1,1,0,8.3,48.802883,28.899038,0.017451918
25,2012-01-29,2196.59294911929,2012,4,29,6,1,1,1,0,8.3,49.512077,27.086956,0.035990346
26,2012-01-30,11071.761270799843,2012,5,30,0,1,1,0,0,8.3,55.451923,29.673077,0.014903845
27,2012-01-31,9049.395289960015,2012,5,31,1,1,1,0,0,8.3,58.625,36.889423,0.020336537
